ID,Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x1602,CUS_0xd40,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,4,809.98,26.82261962,22 Years and 1 Months,No,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887,Good
0x160e,CUS_0x21b1,Rick Rothackerj,28_,004-07-5839,_______,34847.84,2,4,6,1,Credit-Builder Loan,3,4,2,605.03,24.46403064,26 Years and 7 Months,No,18.81621457,104.2918252,Low_spent_Small_value_payments,470.6906269,Standard
0x161a,CUS_0x2dbc,Langep,34,486-85-3974,_______,143162.64,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,3,1303.01,28.61673482,17 Years and 9 Months,No,246.9923195,168.4137027,!@9#%8,1043.315978,Good
0x1626,CUS_0xb891,Jasond,54,072-31-6145,Entrepreneur,30689.89,2,5,4,1,Not Specified,0,6,4,632.46,26.54422872,17 Years and 3 Months,No,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773,Standard
0x1632,CUS_0x1cdb,Deepaa,21,615-06-7821,Developer,35547.71_,7,5,5,0,,5,,4,943.86,39.79776423,30 Years and 8 Months,Yes,0,276.7253943,!@9#%8,288.6055223,Standard
0x163e,CUS_0x95ee,Np,31,612-70-8987,Lawyer,73928.46,4,1288,8,0,,12,10,2,548.2,39.96268501,NA,No,15015,98.67440994,High_spent_Large_value_payments,740.1960901,Good
0x164a,CUS_0x284a,Nadiaq,33,411-51-0676,Lawyer,131313.4,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,2,352.16,32.200509,30 Years and 7 Months,NM,137.6446054,378.1712535,High_spent_Medium_value_payments,858.4624744,Good
0x1656,CUS_0x5407,Annk,7580,500-92-6408,Media_Manager,34081.38_,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,5,1704.18,24.44806275,NA,NM,70.47833267,162.4410092,Low_spent_Large_value_payments,298.1921581,Poor
0x1662,CUS_0x4157,,23,070-19-1622,Doctor,114838.41,2,5,7,-100,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,3,1377.74,33.66455429,21 Years and 4 Months,No,226.8927919,215.1935159,High_spent_Small_value_payments,802.3004421,Good
0x166e,CUS_0xba08,Jamesj,44,366-68-1681,Journalist,31370.8,0,5,12,2,"Not Specified, and Payday Loan",4,0,2,421.43,29.51935256,NA,NM,46.61612907,154.3527811,High_spent_Small_value_payments,341.5544232,Good
0x167a,CUS_0xa66b,,40,221-30-8554,Teacher,33751.27,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,4,1328.93,37.08907565,19 Years and 2 Months,NM,65.00817429,117.3066971,High_spent_Medium_value_payments,362.5457119,Standard
0x1686,CUS_0xc0ab,Soyoungd,32,342-90-2649,Engineer,88640.24,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3,950.36,28.21061721,25 Years and 5 Months,No,135.173371,98.93176402,High_spent_Large_value_payments,732.5635317,Standard
0x1692,CUS_0x3e45,Harriet McLeodd,35,414-53-2918,Entrepreneur,54392.16,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,3,179.22,25.64924607,26 Years and 10 Months,Yes,124.3920824,243.7354374,Low_spent_Large_value_payments,378.5404802,Standard
0x169e,CUS_0x6c66,Sinead Carews,39,328-33-6328,Manager,8701.545,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,6,2602.69,24.52316385,8 Years and 11 Months,Yes,36.54819717,13.06620992,Low_spent_Large_value_payments,272.2984679,Poor
0x16aa,CUS_0xff4,Poornimaf,36,655-05-7666,Entrepreneur,25546.26,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,5,758.44,37.41820917,18 Years and 2 Months,NM,101.3286374,53.10459911,High_spent_Medium_value_payments,337.1522635,Standard
0x16b6,CUS_0x33d2,Chalmersa,30,965-46-2491,Scientist,31993.78,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,0,818.22,25.36959679,16 Years and 10 Months,Yes,45.14129822,81.99883506,Low_spent_Medium_value_payments,447.0747001,Standard
0x16c2,CUS_0x6070,Parkm,20,891-55-9364,Accountant,92047.08,6,7,16,0,,16,11,0,1296.64,37.11561494,29 Years and 2 Months,Yes,0,154.6341231,!@9#%8,854.5248769,Standard
0x16ce,CUS_0xfdb,Patrickg,45,928-91-4452,Teacher,32284.62,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12,8,1283.37,28.94089259,6 Years and 5 Months,Yes,103.0375604,254.8616151,Low_spent_Medium_value_payments,211.9393246,Standard
0x16da,CUS_0x3553,Laurence Frosty,26,084-25-3745,Musician,97791.42,6,6,12,0_,,18,8,1,107.41,25.71557884,27 Years and 2 Months,Yes,0,451.2465194,Low_spent_Small_value_payments,646.6819806,Standard
0x16e6,CUS_0x4100,Reema,31,068-83-4394,Entrepreneur,19300.34,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",52,,7,2430.21,29.93418573,18 Years and 2 Months,Yes,49.57206224,79.17641583,Low_spent_Small_value_payments,312.4876886,Poor
0x16f2,CUS_0x132f,,41,#F%$D@*&8,Musician,19514.88,7,5,17,0,,30,12,2,881.4,26.08454275,19 Years and 3 Months,NM,0,50.14372714,High_spent_Medium_value_payments,382.6802729,Standard
0x16fe,CUS_0xa16e,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,,6,1672.43,25.95127289,10 Years and 1 Months,Yes,37.58807284,14.62273924,High_spent_Large_value_payments,295.2476463,Poor
0x170a,CUS_0xac86,,19,028-16-4402,Entrepreneur,106733.13,4,4,1,0,,10,8_,0,76.23,29.81589563,32 Years and 9 Months,No,0,388.3603537,Low_spent_Large_value_payments,768.9823963,Good
0x1716,CUS_0x5b48,,31_,706-95-0150,Lawyer,12600.445,5,5,10,-100,"Not Specified, Student Loan, and Student Loan",28,19,7,569.8,33.07588357,12 Years and 3 Months,Yes,26.06034753,0,High_spent_Large_value_payments,284.2982045,Standard
0x1722,CUS_0xa5f9,Rickt,34,189-09-5267,Mechanic,57983.12,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",47,19,12,3532.83,32.32176946,NA,Yes,200.4326134,265.7062119,Low_spent_Small_value_payments,295.9538413,Poor
0x172e,CUS_0x4d43,Reijik,48,013-39-0742,Entrepreneur,20787.69,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,3,614.6,23.72318578,17 Years and 10 Months,No,42.22199266,__10000__,Low_spent_Small_value_payments,253.3256224,Standard
0x173a,CUS_0xb95f,Ashleyk,30,467-13-1148,Writer,34290.12,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,9,2686.81,39.28029559,13 Years and 8 Months,NM,185.1119826,248.0699573,Low_spent_Large_value_payments,106.5690601,Poor
0x1746,CUS_0x3edc,Williamso,32,663-16-3845,Accountant,43070.24,3,3,18,1,Debt Consolidation Loan,11,8,4,1233.1,27.98070066,19 Years and 2 Months,Yes,30.57608482,397.0022489,Low_spent_Small_value_payments,224.6403329,Standard
0x1752,CUS_0xbffe,Dhanya Skariachano,40,#F%$D@*&8,Architect,28572.39,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,12,0,400.07,24.42225068,30 Years and 3 Months,Yes,69.60292048,42.85050715,High_spent_Large_value_payments,348.5498224,Standard
0x175e,CUS_0xb681,Sarahb,37,904-88-7361,Manager,39641.54,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,6,2258.73,34.12570493,NA,Yes,172.3825274,246.9150252,Low_spent_Large_value_payments,151.4486141,Poor
0x176a,CUS_0x9a71,Mukhopadhyayc,54_,889-07-2357,Scientist,20186.02,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,4,413.32,35.94290749,18 Years and 3 Months,No,29.53458372,74.21434055,Low_spent_Large_value_payments,334.6679091,Good
0x1776,CUS_0x6048,Ayeshaz,43,425-47-6723,Musician,18627.64,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,7,1793.54,38.97966115,18 Years and 9 Months,NM,65.13948778,48.43998335,High_spent_Medium_value_payments,275.1508622,Poor
0x1782,CUS_0x95b5,Lisa Baertleinu,21_,602-55-1355,Engineer,12986.745,4,3,10,2_,"Mortgage Loan, and Payday Loan",30,14,5,1489.49,26.32926887,8 Years and 8 Months,Yes,16.71930023,16.28671936,High_spent_Medium_value_payments,312.9168554,Standard
0x178e,CUS_0x4004,Carlosj,43,679-26-6464,Writer,58317,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,17,6,98.97,40.41111483,13 Years and 1 Months,Yes,149.8971994,109.4889496,!@9#%8,467.088851,Standard
0x179a,CUS_0xb101,Andreas Cremerf,36,253-91-2822,Scientist,42171.98,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,4,556.91,33.47895197,21 Years and 5 Months,No,102.7629131,56.71137669,High_spent_Medium_value_payments,466.9588769,Standard
0x17a6,CUS_0x9b94,Bri,36,734-54-7098,Manager,71681.4,3,518,15,1,Not Specified,7,8,,1293.02,40.33902429,25 Years and 7 Months,Yes,53.92351397,301.2920819,Low_spent_Small_value_payments,514.7294041,Standard
