Access Code,Name,Gender,Age,Height,Initial Weight,Lowest Weight,Target Weight,Product Name,Status,Price,Purchased At,Payment Type,Channel
Y9RY2VSI,김승혜,FEMALE,25.0,172.0,66.9,65.8,55.0,눔 체중감량 프로그램,completed,112500,2017-04-14 19:03:29.976000,Recurring,others
3GTN3S3B,허승준,MALE,26.0,176.0,70.0,,65.0,눔 체중감량 프로그램,completed,44780,2017-05-23 20:53:54.368000,Recurring,others
6B0IG276,이지민,FEMALE,23.0,171.0,98.0,,91.14,눔 체중감량 프로그램 (천원 체험),completed,132000,2017-08-23 23:39:21.840000,Recurring,facebook
EMGRU2MO,장설윤,FEMALE,20.0,160.0,70.7,,53.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-28 20:18:22.824000,Recurring,naver
1ELG96TX,서성빈,FEMALE,28.0,165.0,55.5,,51.61500168,눔 체중감량 프로그램,completed,44780,2017-05-07 17:50:30.944000,Recurring,facebook
2GHCC4T1,정성연,FEMALE,26.0,157.0,67.8,66.4,63.053999999999995,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-24 08:24:43.256000,Recurring,email
ERJUS7LV,장세현,FEMALE,41.0,160.0,54.1,,49.57,눔 체중감량 프로그램,cancelled,112500,2017-05-25 09:38:14.776000,Recurring,others
QJ0M8FE7,배수이,FEMALE,23.0,157.0,60.0,60.0,52.0,눔 체중감량 프로그램,completed,44780,2017-04-17 19:19:01.024000,Recurring,others
U9AELHAT,배소정,FEMALE,22.0,161.0,76.0,,48.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-09 15:24:28.296000,Recurring,facebook
BXOWUYDX,조슬지,FEMALE,28.0,159.0,66.3,63.4,61.659,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-03 21:03:44.352000,Recurring,facebook
0VRP0TMF,장승혜,FEMALE,22.0,167.0,63.0,61.2,58.59000015,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-30 09:49:03.624000,Recurring,facebook
WHA00T0L,임슬민,FEMALE,21.0,158.0,52.7,,49.011,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-13 09:40:59.264000,Recurring,facebook
0YPFDVKU,류소원,FEMALE,30.0,158.0,56.0,56.0,49.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-22 12:48:08.800000,Recurring,facebook
O0C3P7SU,정슬미,FEMALE,23.0,163.0,61.0,59.7,56.73,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-11 23:30:44.687999,Recurring,facebook
7T5RYBLV,서대연,MALE,28.0,179.0,98.1,,73.1,눔 체중감량 프로그램,cancelled,112500,2017-05-18 14:03:06.000000,Recurring,direct
ZC01N2ST,배원영,MALE,31.0,178.0,93.9,91.0,87.32700348,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-05-12 11:07:15.656000,Recurring,facebook
AN2WB6OQ,고서혜,FEMALE,22.0,157.0,56.0,54.0,47.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-19 02:10:51.824001,Recurring,facebook
